name,hansard_key,education_level,education_field,alma_maters,prior_occupation,occupation_category,source_url
Jeff Burch,jeff burch,bachelor,philosophy,Brock University,"Executive director, Niagara Folk Arts; steelworkers local president",NGO-advocacy,https://en.wikipedia.org/wiki/Jeff_Burch
Rod Phillips,rod phillips,graduate,business administration,University of Western Ontario; Wilfrid Laurier University; University of Toronto's Rotman School,,business,https://en.wikipedia.org/wiki/Rod_Phillips_(politician)
Ross Romano,ross romano,unknown,education,,,unknown,https://en.wikipedia.org/wiki/Ross_Romano
Kaleed Rasheed,kaleed rasheed,graduate,business administration,University of Guelph-Humber University; University of Guelph-Humber Business Program; University of Bradford; University of Guelph-Humber; University of Guelph,,unknown,https://en.wikipedia.org/wiki/Kaleed_Rasheed
Michael Parsa,michael parsa,bachelor,arts,,Small business owner,business,https://en.wikipedia.org/wiki/Michael_Parsa
Jack MacLaren,jack maclaren,bachelor,civil engineering,Queen's University,"Farmer, civil engineer",agriculture,https://en.wikipedia.org/wiki/Jack_MacLaren
David Piccini,david piccini,unknown,,Royal College,,other,https://en.wikipedia.org/wiki/David_Piccini
Donna Skelly,donna skelly,college,journalism,Seneca College,,communications-PR-journalism,https://en.wikipedia.org/wiki/Donna_Skelly
Christine Hogarth,christine hogarth,bachelor,political science and public administration,Lake Superior State University,Political Staffer,public-service,https://en.wikipedia.org/wiki/Christine_Hogarth
Terence Kernaghan,terence kernaghan,bachelor,education,Western University; Huron College; Althouse College; University of Western Ontario,"Teacher, Librarian, Politician",education,https://en.wikipedia.org/wiki/Terence_Kernaghan
Michael Chan,michael chan,unknown,,Seneca College,Insurance broker,business,https://en.wikipedia.org/wiki/Michael_Chan_(politician)
Gerry Phillips,gerry phillips,unknown,business,University of Western Ontario,Consultant,business,https://en.wikipedia.org/wiki/Gerry_Phillips
Andrea Khanjin,andrea khanjin,unknown,,University of Ottawa,,unknown,https://en.wikipedia.org/wiki/Andrea_Khanjin
Rick Johnson,rick johnson,unknown,,,Musician,other,https://en.wikipedia.org/wiki/Rick_Johnson_(Canadian_politician)
Frank Klees,klees,unknown,,,Businessman,business,https://en.wikipedia.org/wiki/Frank_Klees
Michael A. Brown,michael a. brown,college,,University of Western Ontario; Humber College,Funeral director,business,https://en.wikipedia.org/wiki/Michael_A._Brown_(Canadian_politician)
Jill Dunlop,jill dunlop,unknown,,,Post-secondary administrator,education,https://en.wikipedia.org/wiki/Jill_Dunlop
Prabmeet Sarkaria,prabmeet singh sarkaria,professional,law,Wilfrid Laurier University; University of Windsor,Corporate lawyer,law,https://en.wikipedia.org/wiki/Prabmeet_Sarkaria
Amrit Mangat,amrit mangat,bachelor,education,,"Teacher, business administrator",education,https://en.wikipedia.org/wiki/Amrit_Mangat
Sophia Aggelonitis,sophia aggelonitis,bachelor,politics and psychology,Brock University,,business,https://en.wikipedia.org/wiki/Sophia_Aggelonitis
Kim Craitor,kim craitor,unknown,,,Human resource development,business,https://en.wikipedia.org/wiki/Kim_Craitor
Natalia Kusendova-Bashta,natalia kusendova,bachelor,nursing,University of Toronto; Nipissing University,Nurse,health,https://en.wikipedia.org/wiki/Natalia_Kusendova-Bashta
Elizabeth Witmer,witmer,bachelor,education,University of Western Ontario Althouse College; Education University; University of Western Ontario; Althouse College; University of Waterloo,Teacher,education,https://en.wikipedia.org/wiki/Elizabeth_Witmer
Tom Rakocevic,tom rakocevic,unknown,,,Executive assistant to a Toronto city councillor,public-service,https://en.wikipedia.org/wiki/Tom_Rakocevic
John Yakabuski,yakabuski,unknown,,,Hardware store owner; real estate sales representative,business,https://en.wikipedia.org/wiki/John_Yakabuski
Stephen Crawford,stephen crawford,bachelor,political science,University of Western Ontario; University of Toronto; Queen's University,"Senior executive, Acuity Funds",business,https://en.wikipedia.org/wiki/Stephen_Crawford_(politician)
Michael Tibollo,michael a. tibollo,professional,law,University of Toronto University; University of Toronto; University of Windsor; University of Windsor Faculty of Law,Lawyer,law,https://en.wikipedia.org/wiki/Michael_Tibollo
Pat Hoy,pat hoy,unknown,,,Farmer,agriculture,https://en.wikipedia.org/wiki/Pat_Hoy
Monte Kwinter,monte kwinter,bachelor,fine arts / industrial design,Syracuse University; Massachusetts Institute of Technology; Université de Montréal; OCAD University,Real estate agent,business,https://en.wikipedia.org/wiki/Monte_Kwinter
Parm Gill,parm gill,unknown,,,Entrepreneur,business,https://en.wikipedia.org/wiki/Parm_Gill
Jean-Marc Lalonde,jean-marc lalonde,unknown,,,Civil servant,public-service,https://en.wikipedia.org/wiki/Jean-Marc_Lalonde
Jane McKenna,jane mckenna,unknown,,,Businessperson,business,https://en.wikipedia.org/wiki/Jane_McKenna
Amy Fee,amy fee,unknown,,,News anchor and sports reporter,communications-PR-journalism,https://en.wikipedia.org/wiki/Amy_Fee
Cheri DiNovo,dinovo,graduate,divinity,York University; Centennial College; Emmanuel College; University of Toronto,United Church of Canada minister,other,https://en.wikipedia.org/wiki/Cheri_DiNovo
Gurratan Singh,gurratan singh,professional,law,McMaster University; York University; Osgoode Hall Law School,Lawyer,law,https://en.wikipedia.org/wiki/Gurratan_Singh
Bob Runciman,runciman,unknown,,,Weekly newspaper owner; production management,business,https://en.wikipedia.org/wiki/Bob_Runciman
Jeremy Roberts,jeremy roberts,graduate,public policy,Carleton University; University of Oxford,Political assistant,public-service,https://en.wikipedia.org/wiki/Jeremy_Roberts_(politician)
Dwight Duncan,duncan,graduate,economics; business administration,Assumption College; McGill University; University of Windsor,Political staff,public-service,https://en.wikipedia.org/wiki/Dwight_Duncan
Bruce Crozier,bruce crozier,unknown,,,Certified General Accountant,business,https://en.wikipedia.org/wiki/Bruce_Crozier
Doly Begum,doly begum,graduate,development administration and planning,University of Toronto,,NGO-advocacy,https://en.wikipedia.org/wiki/Doly_Begum
Nina Tangri,nina tangri,unknown,,,Insurance Broker,business,https://en.wikipedia.org/wiki/Nina_Tangri
Laurie Scott,scott,college,nursing,Loyalist College,Registered nurse,health,https://en.wikipedia.org/wiki/Laurie_Scott_(politician)
Peter Bethlenfalvy,peter bethlenfalvy,graduate,business administration,McGill University; University of Toronto,,unknown,https://en.wikipedia.org/wiki/Peter_Bethlenfalvy
Raymond Cho,raymond sung joon cho,graduate,social work; counselling psychology,Hankuk University; Foreign Studies University; University of Toronto,Social worker,health,https://en.wikipedia.org/wiki/Raymond_Cho_(politician)
Michael Colle,colle,unknown,economics,Carleton University,Teacher,education,https://en.wikipedia.org/wiki/Michael_Colle
Sarah Campbell,sarah campbell,unknown,,,Executive assistant,unknown,https://en.wikipedia.org/wiki/Sarah_Campbell
Faisal Hassan,faisal hassan,unknown,arts/humanities,Humber College; University of Winnipeg,"Broadcaster, author",communications-PR-journalism,https://en.wikipedia.org/wiki/Faisal_Hassan
Joe Tascona,tascona,professional,law,McMaster University; Queen's University,Lawyer,law,https://en.wikipedia.org/wiki/Joe_Tascona
Belinda Karahalios,belinda karahalios,unknown,,,,unknown,https://en.wikipedia.org/wiki/Belinda_Karahalios
Ted Chudleigh,chudleigh,bachelor,science,Michigan State University,Businessman,business,https://en.wikipedia.org/wiki/Ted_Chudleigh
Garfield Dunlop,dunlop,unknown,,University of Waterloo,Businessman,business,https://en.wikipedia.org/wiki/Garfield_Dunlop
Lindsey Park,lindsey park,professional,law,Wayne State University; University of Ottawa,Lawyer,law,https://en.wikipedia.org/wiki/Lindsey_Park
miller,miller,unknown,,,,unknown,
Chris Glover,chris glover,graduate,education,York University; University of Toronto; Innis College,Professor,education,https://en.wikipedia.org/wiki/Chris_Glover
David Caplan,caplan,unknown,,University of Western Ontario,Commercial real estate agent,business,https://en.wikipedia.org/wiki/David_Caplan
Stan Cho,stan cho,bachelor,philosophy,Trinity College; University of Toronto,Real Estate Broker and Auditor,business,https://en.wikipedia.org/wiki/Stan_Cho
Margarett Best,margarett r. best,professional,law,University of Toronto; Osgoode Hall Law School; York University,Lawyer,law,https://en.wikipedia.org/wiki/Margarett_Best
Merrilee Fullerton,merrilee fullerton,professional,medicine,University of Ottawa; University of Ottawa's,Physician,health,https://en.wikipedia.org/wiki/Merrilee_Fullerton
Lisa MacLeod,macleod,bachelor,political science,Francis Xavier University; St. Francis Xavier University,Political aide,public-service,https://en.wikipedia.org/wiki/Lisa_MacLeod
Effie Triantafilopoulos,effie j. triantafilopoulos,professional,law,Osgoode Hall Law School,Lawyer and political staffer,law,https://en.wikipedia.org/wiki/Effie_Triantafilopoulos
Judith Monteith-Farrell,judith monteith-farrell,unknown,,,,unknown,https://en.wikipedia.org/wiki/Judith_Monteith-Farrell
Caroline Mulroney,caroline mulroney,professional,law,Harvard University; New York University; School of Law,"Client services and sales manager at venture fund firm, financial analyst, lawyer",law,https://en.wikipedia.org/wiki/Caroline_Mulroney
Joe Tascona,joseph n. tascona,professional,law,McMaster University; Queen's University,Lawyer,law,https://en.wikipedia.org/wiki/Joe_Tascona
Daryl Kramp,daryl kramp,college,,Lawrence College,International business consultant; OPP investigator,business,https://en.wikipedia.org/wiki/Daryl_Kramp
Kuldip Singh Kular,kuldip kular,professional,medicine,Guru Nanak Dev University; Dalhousie University,Physician,health,https://en.wikipedia.org/wiki/Kuldip_Kular
Roman Baber,roman baber,professional,law,York University; University of Western Ontario,Lawyer,law,https://en.wikipedia.org/wiki/Roman_Baber
Paul Ferreira,ferreira,bachelor,journalism,Ottawa's Carleton University; Carleton University,Public relations,communications-PR-journalism,https://en.wikipedia.org/wiki/Paul_Ferreira
Kathleen Wynne,wynne,graduate,linguistics; adult education,Queen's University; University of Toronto; Ontario Institute for Studies in Education,,unknown,https://en.wikipedia.org/wiki/Kathleen_Wynne
Kinga Surma,kinga surma,bachelor,public policy,University of Guelph Ryerson University; University of Guelph,,unknown,https://en.wikipedia.org/wiki/Kinga_Surma
Deepak Anand,deepak anand,graduate,chemical engineering; business administration,Panjab University; Schulich School of Business,"Small business owner, Radio Show Host, Community Activist",business,https://en.wikipedia.org/wiki/Deepak_Anand
Aileen Carroll,aileen carroll,bachelor,arts; education,Saint Mary's University; York University,,unknown,https://en.wikipedia.org/wiki/Aileen_Carroll
Mary Anne Chambers,mary anne v. chambers,bachelor,commerce,University of Toronto; University of Guelph,Banker,business,https://en.wikipedia.org/wiki/Mary_Anne_Chambers
Rudy Cuzzetto,rudy cuzzetto,unknown,,,Auditor,business,https://en.wikipedia.org/wiki/Rudy_Cuzzetto
Norm Miller,norman miller,unknown,,,Airline pilot,other,https://en.wikipedia.org/wiki/Norm_Miller_(politician)
Sol Mamakwa,sol mamakwa,secondary,,,"Health system transformation lead, Nishnawbe Aski Nation",NGO-advocacy,https://en.wikipedia.org/wiki/Sol_Mamakwa
Jennifer Stevens,jennifer (jennie) stevens,unknown,,,City councillor,public-service,https://en.wikipedia.org/wiki/Jennie_Stevens
Laurel Broten,broten,professional,law,McMaster University; University of Western Ontario,Lawyer,law,https://en.wikipedia.org/wiki/Laurel_Broten
Vijay Thanigasalam,vijay thanigasalam,graduate,commerce; business administration,Ontario Tech University; University of Toronto Scarborough; Queen's University,,business,https://en.wikipedia.org/wiki/Vijay_Thanigasalam
Grant Crack,grant crack,college,arts/humanities,,Auto dealership manager,business,https://en.wikipedia.org/wiki/Grant_Crack
Steve Peters,steve peters,bachelor,history,University of Western Ontario,Archivist,other,https://en.wikipedia.org/wiki/Steve_Peters_(Ontario_politician)
Dave Levac,levac,graduate,education,Wilfrid Laurier University; Queen's University; Niagara University,Teacher,education,https://en.wikipedia.org/wiki/Dave_Levac
Billy Pang,billy pang,unknown,,,,unknown,https://en.wikipedia.org/wiki/Billy_Pang
Norm Sterling,sterling,professional,law,Carleton University; University of Ottawa,Lawyer,law,https://en.wikipedia.org/wiki/Norm_Sterling
Jim Bradley,bradley,unknown,,,Teacher,education,https://en.wikipedia.org/wiki/Jim_Bradley_(politician)
Jennifer Mossop,jennifer f. mossop,unknown,,,"journalist, communications specialist",communications-PR-journalism,https://en.wikipedia.org/wiki/Jennifer_Mossop
Michael Bryant,bryant,professional,law,University of British Columbia; Osgoode Hall Law School; York University; King's College; University of Toronto,"lawyer, executive",law,https://en.wikipedia.org/wiki/Michael_Bryant_(politician)
Khalil Ramal,ramal,graduate,sociology; social politics,Lebanese University,"Teacher, journalist",education,https://en.wikipedia.org/wiki/Khalil_Ramal
Greg Sorbara,sorbara,professional,law,York University; University of Toronto; Glendon College; Osgoode Hall Law School,"Lawyer, politician",law,https://en.wikipedia.org/wiki/Greg_Sorbara
Mario Racco,mario g. racco,bachelor,business; accounting,Toronto Metropolitan University (Ryerson); York University,Bookkeeper,unknown,https://en.wikipedia.org/wiki/Mario_Racco
Sheref Sabawy,sheref sabawy,bachelor,engineering,Alexandria University; George Brown College,"IT professor, George Brown College",education,https://en.wikipedia.org/wiki/Sheref_Sabawy
Wayne Arthurs,arthurs,bachelor,arts; education,York University; University of Toronto,Teacher,education,https://en.wikipedia.org/wiki/Wayne_Arthurs_(politician)
Donna Cansfield,cansfield,unknown,,,,unknown,https://en.wikipedia.org/wiki/Donna_Cansfield
Toby Barrett,barrett,graduate,agriculture,University of Guelph; Ontario Agricultural College,Farmer; business administrator; agriculture teacher,agriculture,https://en.wikipedia.org/wiki/Toby_Barrett
Aris Babikian,aris babikian,unknown,,,Citizenship judge,public-service,https://en.wikipedia.org/wiki/Aris_Babikian
David Ramsay,ramsay,unknown,,Concordia University,Farmer,agriculture,https://en.wikipedia.org/wiki/David_Ramsay_(Ontario_politician)
Jim Wilson,wilson,bachelor,,University of Toronto; University of St. Michael's College,Political assistant,public-service,https://en.wikipedia.org/wiki/Jim_Wilson_(Ontario_politician)
Guy Bourgouin,guy bourgouin,unknown,,,Union leader,trades-labour,https://en.wikipedia.org/wiki/Guy_Bourgouin
Daisy Wai,daisy wai,unknown,,,Businesswoman,business,https://en.wikipedia.org/wiki/Daisy_Wai
Jeff Leal,leal,bachelor,economics and political science,Trent University; University of Windsor,Executive assistant to MPPs,public-service,https://en.wikipedia.org/wiki/Jeff_Leal
Christine Elliott,elliott,professional,law,University of Western Ontario,Lawyer,law,https://en.wikipedia.org/wiki/Christine_Elliott
Paul Ferreira,paul ferreira,bachelor,journalism,Ottawa's Carleton University; Carleton University,Public relations,communications-PR-journalism,https://en.wikipedia.org/wiki/Paul_Ferreira
Bob Delaney,delaney,graduate,physics; business administration,Concordia University; Simon Fraser University,IT consultant,business,https://en.wikipedia.org/wiki/Bob_Delaney_(politician)
Lorenzo Berardinetti,berardinetti,professional,law,University of Toronto; University of Windsor Law School; University of Windsor Faculty of Law,Lawyer,law,https://en.wikipedia.org/wiki/Lorenzo_Berardinetti
Belinda Karahalios,belinda c. karahalios,unknown,,,,unknown,https://en.wikipedia.org/wiki/Belinda_Karahalios
Amarjot Sandhu,amarjot sandhu,college,wireless networking,George Brown College,Computer engineer; realtor,business,https://en.wikipedia.org/wiki/Amarjot_Sandhu
Cam Jackson,cameron jackson,unknown,,McMaster University,"CEO, Metropolitan Hamilton Real Estate Board",business,https://en.wikipedia.org/wiki/Cam_Jackson
Sandra Pupatello,pupatello,bachelor,arts,University of Windsor,"Rotary Club general manager; executive director, Kidney Foundation",NGO-advocacy,https://en.wikipedia.org/wiki/Sandra_Pupatello
Liz Sandals,sandals,graduate,mathematics,University of Guelph; University of Waterloo,Teacher,education,https://en.wikipedia.org/wiki/Liz_Sandals
Logan Kanapathi,logan kanapathi,bachelor,arts,University of Jaffna,Small Business Owner,business,https://en.wikipedia.org/wiki/Logan_Kanapathi
John Gerretsen,gerretsen,professional,law,Queen's University,Lawyer,law,https://en.wikipedia.org/wiki/John_Gerretsen
Ted Arnott,arnott,bachelor,political science,Wilfrid Laurier University,,unknown,https://en.wikipedia.org/wiki/Ted_Arnott
Mary Anne Chambers,chambers,bachelor,commerce,University of Toronto; University of Guelph,Banker,business,https://en.wikipedia.org/wiki/Mary_Anne_Chambers
Judy Marsales,judy marsales,unknown,,,Real estate agent,business,https://en.wikipedia.org/wiki/Judy_Marsales
Brad Duguid,duguid,bachelor,,University of Toronto,"Political staff (executive assistant to municipal, provincial and federal members)",public-service,https://en.wikipedia.org/wiki/Brad_Duguid
Marie Bountrogianni,marie bountrogianni,graduate,education; psychology,Toronto Metropolitan University (Ryerson); University of Waterloo; University of Toronto; Wilfrid Laurier University; McMaster University,"Chief psychologist, Hamilton Board of Education",health,https://en.wikipedia.org/wiki/Marie_Bountrogianni
Monique Smith,smith,professional,law,University of Toronto; Queen's University,Lawyer,law,https://en.wikipedia.org/wiki/Monique_Smith_(Canadian_politician)
Leona Dombrowsky,dombrowsky,bachelor,arts,University of Toronto; University of St. Michael's College,Catholic school board trustee,public-service,https://en.wikipedia.org/wiki/Leona_Dombrowsky
Vincent Ke,vincent ke,bachelor,engineering,Fuzhou University; Ruhr University,Electronic engineer,other,https://en.wikipedia.org/wiki/Vincent_Ke
Jerry Ouellette,ouellette,college,business administration,Durham College,,unknown,https://en.wikipedia.org/wiki/Jerry_Ouellette
Bill Murdoch,murdoch,unknown,,,Farmer,agriculture,https://en.wikipedia.org/wiki/Bill_Murdoch
Gerry Phillips,phillips,unknown,business,University of Western Ontario,Consultant,business,https://en.wikipedia.org/wiki/Gerry_Phillips
Monte Kwinter,kwinter,bachelor,fine arts / industrial design,Syracuse University; Massachusetts Institute of Technology; Université de Montréal; OCAD University,Real estate agent,business,https://en.wikipedia.org/wiki/Monte_Kwinter
Jim Watson,watson,bachelor,mass communications,Carleton University,,communications-PR-journalism,https://en.wikipedia.org/wiki/Jim_Watson_(Canadian_politician)
Ted McMeekin,mcmeekin,graduate,social work,McMaster University; Wilfrid Laurier University; Mohawk College,Business owner,unknown,https://en.wikipedia.org/wiki/Ted_McMeekin
Caroline Di Cocco,caroline di cocco,unknown,music,,Music teacher,education,https://en.wikipedia.org/wiki/Caroline_Di_Cocco
Elizabeth Dowdeswell,elizabeth dowdeswell,unknown,,University of Saskatchewan; Utah State University; University of Toronto,Civil servant,public-service,https://en.wikipedia.org/wiki/Elizabeth_Dowdeswell
David Onley,david c. onley,bachelor,political science,University of Toronto; University of Windsor Law School,Journalist,communications-PR-journalism,https://en.wikipedia.org/wiki/David_Onley
John Wilkinson,wilkinson,unknown,,University of Waterloo Stratford Campus Advisory Board,Financial planner,business,https://en.wikipedia.org/wiki/John_Wilkinson_(Ontario_politician)
Steve Peters,peters,bachelor,history,University of Western Ontario,Archivist,other,https://en.wikipedia.org/wiki/Steve_Peters_(Ontario_politician)
Christina Mitas,christina maria mitas,unknown,education,University of Toronto; Ontario Institute for Studies in Education,"Teacher, political organizer, politician",education,https://en.wikipedia.org/wiki/Christina_Mitas
Ernie Parsons,ernie parsons,bachelor,civil engineering,Carleton University; Loyalist College; Queen's University,"Technology instructor, Loyalist College; engineer",education,https://en.wikipedia.org/wiki/Ernie_Parsons
Marie Bountrogianni,bountrogianni,graduate,education; psychology,Toronto Metropolitan University (Ryerson); University of Waterloo; University of Toronto; Wilfrid Laurier University; McMaster University,"Chief psychologist, Hamilton Board of Education",health,https://en.wikipedia.org/wiki/Marie_Bountrogianni
Harinder Takhar,takhar,graduate,economics; accounting,Guru Nanak Dev University; Punjabi University; Sheridan College,Businessman,business,https://en.wikipedia.org/wiki/Harinder_Takhar
